src,dst,value
0xSANC_TORNADO,0xHIGH_TAINT,4.8
0xCLEAN_01,0xHIGH_TAINT,1.2
0xSANC_DARKNET,0xLOW_TAINT,0.5
0xCLEAN_02,0xLOW_TAINT,4.5
0xSANC_TORNADO,0xINTER_A1,12.5
0xCLEAN_03,0xINTER_A1,12.5
0xINTER_A1,0xMED_TAINT,7.2
0xCLEAN_04,0xMED_TAINT,4.8
0xSANC_DARKNET,0xMIXER_001,3.0
0xMIXER_001,0xMIXER_PATH,1.4
0xCLEAN_05,0xMIXER_PATH,1.4
0xSANC_DARKNET,0xINTER_B1,2.0
0xCLEAN_06,0xINTER_B1,2.0
0xINTER_B1,0xINTER_B2,0.9
0xCLEAN_07,0xINTER_B2,0.9
0xINTER_B2,0xDEEP_TAINT,3.15
0xCLEAN_08,0xDEEP_TAINT,1.35
0xFWD_EXPOSED,0xSANC_TORNADO,1.8
0xFWD_EXPOSED,0xCLEAN_09,1.2
0xCLEAN_10,0xCLEAN_WALLET,2.5
0xCLEAN_11,0xCLEAN_WALLET,2.5
