id,type,label
0xSANC_TORNADO,contract,sanctioned
0xSANC_DARKNET,address,sanctioned
0xMIXER_001,contract,mixer
0xHIGH_TAINT,address,
0xLOW_TAINT,address,
0xMED_TAINT,address,
0xMIXER_PATH,address,
0xDEEP_TAINT,address,
0xFWD_EXPOSED,address,
0xCLEAN_WALLET,address,
0xINTER_A1,exchange,
0xINTER_B1,address,
0xINTER_B2,exchange,
0xCLEAN_01,address,
0xCLEAN_02,address,
0xCLEAN_03,address,
0xCLEAN_04,address,
0xCLEAN_05,address,
0xCLEAN_06,exchange,
0xCLEAN_07,address,
0xCLEAN_08,address,
0xCLEAN_09,address,
0xCLEAN_10,address,
0xCLEAN_11,address,
